x,y,z
-2560110.39078,5076350.23084,-2875090.28047
-2560355.31472,5076268.79794,-2875015.95707
-2560420.35141,5076166.60411,-2875138.47169
-2560417.47462,5076149.35527,-2875171.48682
-2560161.39082,5076498.05299,-2874783.84769
-2560357.03987,5076176.12767,-2875178.03784
-2560050.72224,5076483.81634,-2874907.53973
-2560292.23589,5076165.59283,-2875254.34372
-2560119.29934,5076290.92346,-2875187.06061
-2560560.23323,5076248.24415,-2874869.74589
-2560095.77548,5076315.10263,-2875165.31683
-2560494.57106,5076299.49245,-2874837.73707
-2560156.44073,5076259.83289,-2875208.88076
-2560059.60361,5076388.46541,-2875067.99472
-2560279.1279,5076194.29287,-2875215.34642
-2560192.35021,5076468.09874,-2874809.17148
-2560033.80295,5076471.28968,-2874944.72518
-2560085.64587,5076296.60361,-2875206.99742
-2560045.73736,5076446.42893,-2874977.99589
-2560232.16276,5076486.4619,-2874741.28833
-2560503.8978,5076142.57548,-2875106.49242
-2560090.60943,5076445.67225,-2874939.3747
-2560085.34313,5076498.45419,-2874850.86231
-2560409.94645,5076365.87535,-2874795.8894
-2560525.90022,5076219.90539,-2874950.36242
-2560333.72806,5076161.77022,-2875224.14491
-2560347.97439,5076196.27287,-2875150.54378
-2560280.53555,5076459.52293,-2874745.77856
-2560233.86941,5076452.45007,-2874799.82887
-2560476.65276,5076167.96902,-2875085.92235
-2560479.4138,5076340.36997,-2874779.05582
-2560289.85762,5076431.37826,-2874787.17591
-2560114.25947,5076501.3391,-2874820.01742
-2560516.08306,5076248.47548,-2874908.66004
-2560079.9897,5076401.27722,-2875027.22057
-2560455.50185,5076361.11482,-2874763.7216
-2560382.22651,5076400.20201,-2874759.96271
-2560090.48989,5076343.6921,-2875119.5459
-2560239.83938,5076214.25082,-2875215.09537
-2560129.16667,5076256.50137,-2875239.04785
-2560115.21873,5076475.8711,-2874864.1354
-2560010.68839,5076395.54977,-2875099.04135
-2560163.54729,5076444.24002,-2874876.952
-2560386.86523,5076180.83603,-2875143.16518
-2560323.70653,5076449.21997,-2874725.5234
-2560510.20337,5076276.98606,-2874863.5549
-2560456.27798,5076194.86504,-2875056.58043
-2560096.77239,5076466.83992,-2874896.50931
-2560345.87195,5076419.32639,-2874758.5705
-2560467.91591,5076297.10488,-2874865.69332
-2560529.02075,5076188.04067,-2875003.84515
-2560061.05031,5076327.56039,-2875174.24138
-2560467.57359,5076143.09519,-2875137.92395
-2560024.99041,5076347.19965,-2875171.67436
-2560055.63269,5076347.1619,-2875144.45713
-2560023.58417,5076409.61821,-2875062.71872
-2560189.2399,5076226.17078,-2875239.1064
-2560494.24759,5076242.99572,-2874937.78306
-2560386.2995,5076153.09792,-2875192.64118
-2560531.03767,5076291.73991,-2874818.94672
-2560418.92107,5076388.27406,-2874748.3437
-2560024.26551,5076428.20231,-2875029.29842
-2560539.01085,5076153.93142,-2875055.17138
-2560158.6741,5076476.4469,-2874824.42029
-2560367.57524,5076433.05038,-2874715.00582
-2560212.32588,5076475.15925,-2874778.91392
-2560061.94336,5076363.06899,-2875110.75229
-2560449.89961,5076131.47737,-2875174.1749
-2560215.31251,5076234.8099,-2875200.63793
-2560379.52079,5076138.57899,-2875224.31062
-2560550.76534,5076198.584,-2874965.86309
-2560449.50018,5076167.04009,-2875111.74358
-2560476.42804,5076323.36728,-2874811.73858
-2560505.62548,5076210.2488,-2874985.46985
-2560323.70647,5076412.79486,-2874789.84523
-2560506.70946,5076317.76247,-2874794.66489
-2560486.26549,5076270.11448,-2874897.00844
-2560009.65836,5076467.31014,-2874973.25172
-2559978.12606,5076427.50249,-2875071.61756
-2560639.11643,5076106.01691,-2875050.61181
-2559914.89731,5076442.78463,-2875100.93265
-2560418.12687,5076448.48589,-2874642.72313
-2560283.29852,5076131.12741,-2875323.14856
-2560060.3009,5076254.32498,-2875304.2072
-2560172.04275,5076193.72567,-2875311.6998
-2560598.14831,5076086.02942,-2875122.3878
-2559937.09924,5076397.20675,-2875161.63845
-2560328.2202,5076505.83328,-2874621.52805
-2560097.67396,5076523.91923,-2874794.91396
-2560519.4732,5076084.1773,-2875195.72418
-2560399.47095,5076091.0122,-2875290.52185
-2560652.76862,5076138.61047,-2874980.9053
-2560435.55487,5076426.4752,-2874666.06953
-2560352.84608,5076134.82874,-2875254.68506
-2560005.06182,5076513.6421,-2874895.53288
-2560548.58677,5076116.22551,-2875113.21514
-2560002.16878,5076534.63721,-2874861.03543
-2560371.29663,5076113.59289,-2875275.74599
-2560333.63188,5076121.14782,-2875295.94757
-2560204.77187,5076143.97293,-2875370.39216
-2560470.21022,5076099.85014,-2875211.92506
-2560199.5884,5076541.35553,-2874673.36112
-2560045.42355,5076539.15766,-2874814.53491
-2560116.78617,5076217.54208,-2875318.85304
-2559989.36635,5076456.95415,-2875009.6064
-2560359.05128,5076468.37427,-2874660.2188
-2560596.65184,5076227.41898,-2874874.08027
-2560587.07584,5076196.82388,-2874936.631
-2560037.92,5076513.1271,-2874867.18277
-2560557.14333,5076356.58294,-2874681.19252
-2560019.77763,5076270.24719,-2875312.17708
-2560005.407,5076338.44707,-2875204.56436
-2560001.08573,5076491.03623,-2874938.99068
-2560568.35067,5076129.12143,-2875072.84501
-2560616.89618,5076150.25035,-2874992.30378
-2560629.27345,5076217.37578,-2874862.75808
-2560652.99076,5076163.61658,-2874936.55558
-2560250.49006,5076164.72556,-2875293.04717
-2559961.88392,5076341.2594,-2875238.35029
-2560295.97457,5076511.31192,-2874640.57276
-2560029.75534,5076296.81916,-2875256.38085
-2560531.85948,5076355.1742,-2874706.20097
-2560566.35025,5076308.77843,-2874757.4075
-2560223.6913,5076184.76782,-2875281.52595
-2560606.18638,5076125.47214,-2875045.59083
-2560029.09194,5076566.14244,-2874781.42645
-2560490.95129,5076181.28938,-2875049.67013
-2560104.89241,5076199.46783,-2875361.35167
-2560150.02374,5076222.16547,-2875281.0963
-2559917.18893,5076503.72446,-2874991.29065
-2560273.44635,5076117.82962,-2875355.39711
-2559967.59374,5076484.29949,-2874980.70882
-2560295.84488,5076144.34646,-2875288.63952
-2560500.27481,5076420.75171,-2874618.53023
-2560466.41442,5076445.0646,-2874605.755
-2560494.19461,5076396.95271,-2874665.97328
-2560458.95532,5076404.51721,-2874684.00277
-2560469.3068,5076423.2113,-2874641.7705
-2560525.50445,5076392.6809,-2874645.62866
-2559878.57622,5076482.31405,-2875063.47584
-2559941.00286,5076449.83833,-2875065.23417
-2559898.37762,5076495.37846,-2875022.77709
-2559863.96314,5076465.30168,-2875106.52516
-2559845.13328,5076488.85208,-2875081.70812
-2559921.00566,5076472.44002,-2875043.13194
-2560494.56888,5076036.87692,-2875301.40801
-2560466.18874,5076060.34911,-2875285.24299
-2560479.67466,5076078.11739,-2875241.86491
-2560433.83781,5076067.18041,-2875301.99147
-2560495.62886,5076056.49384,-2875265.83222
-2560433.47929,5076086.23294,-2875268.67508
-2560234.44337,5076597.46635,-2874543.22626
-2560210.42251,5076624.2784,-2874517.26877
-2560241.3935,5076617.19762,-2874502.18922
-2560188.55639,5076645.97532,-2874498.42529
-2560269.97225,5076617.49367,-2874476.21179
-2560224.57798,5076655.69692,-2874449.17249
-2559755.07134,5076789.58339,-2874630.84599
-2559722.96109,5076822.90183,-2874600.59589
-2559826.15816,5076777.82543,-2874588.30986
-2559774.2223,5076804.62085,-2874587.23517
-2559741.5877,5076836.56902,-2874559.87165
-2559806.13251,5076806.39161,-2874555.69194
-2559247.79914,5076782.05671,-2875095.76384
-2559280.41706,5076767.13932,-2875093.06979
-2559213.82604,5076818.60023,-2875061.47638
-2559282.17234,5076787.57262,-2875055.4264
-2559250.33369,5076805.24852,-2875052.55571
-2559266.10344,5076815.98623,-2875019.5571
-2558965.22034,5076442.80611,-2875946.18124
-2559002.77483,5076428.45198,-2875938.10266
-2559015.0117,5076443.22657,-2875901.13483
-2559052.10389,5076428.48394,-2875894.15262
-2558967.41877,5076476.21979,-2875885.24451
-2559004.21046,5076478.29474,-2875848.84405
-2559803.04148,5076318.63778,-2875419.70443
-2559852.38758,5076295.42108,-2875416.76139
-2559885.58899,5076282.43393,-2875410.13113
-2559839.14327,5076316.36075,-2875391.58484
-2559873.0101,5076304.45058,-2875382.46102
-2559827.02035,5076345.34237,-2875351.21175
-2560086.67885,5075987.47496,-2875751.78881
-2560017.53835,5076022.58164,-2875751.37207
-2560051.82099,5076013.19458,-2875737.42235
-2560024.71014,5076036.95617,-2875719.61481
-2560096.42432,5076008.27398,-2875706.40029
-2560058.24767,5076033.75943,-2875695.40141
-2560672.51911,5075624.95841,-2875870.04774
-2560637.53882,5075642.83251,-2875869.64787
-2560602.9591,5075670.18005,-2875852.17096
-2560658.0793,5075648.69806,-2875841.00652
-2560619.70966,5075683.51307,-2875813.72443
-2560671.54159,5075667.62846,-2875795.60844
-2561476.87596,5075413.10936,-2875527.60085
-2561471.40548,5075433.05782,-2875497.26386
-2561503.87479,5075420.79846,-2875489.97877
-2561449.42945,5075462.47549,-2875464.9155
-2561510.43525,5075437.40923,-2875454.81536
-2561481.92123,5075467.3944,-2875427.28923
-2560772.50406,5075990.32694,-2875136.06343
-2560744.65804,5076017.50188,-2875112.88768
-2560712.62758,5076037.15352,-2875106.72064
-2560778.92277,5076004.85667,-2875104.6944
-2560764.88264,5076033.51233,-2875066.6075
-2560800.68498,5076019.59667,-2875059.28739
-2561021.0809,5076104.14456,-2874713.67909
-2560970.02153,5076137.01555,-2874701.12328
-2561003.05863,5076127.5736,-2874688.36402
-2560957.43877,5076163.97872,-2874664.72096
-2561040.77799,5076126.50875,-2874656.64048
-2561020.4817,5076152.21604,-2874629.32773
-2560966.74107,5076461.73428,-2874130.58358
-2560945.21253,5076494.5214,-2874091.85529
-2560898.75385,5076522.13264,-2874084.48195
-2560991.18462,5076478.284,-2874079.57168
-2560922.90046,5076527.80494,-2874052.94724
-2560964.94067,5076511.81526,-2874043.73004
-2560357.98018,5077041.08302,-2873649.5706
-2560312.97761,5077067.70848,-2873642.62569
-2560390.14977,5077038.68799,-2873625.13936
-2560351.75064,5077068.0933,-2873607.39994
-2560376.11216,5077072.3432,-2873578.18516
-2560326.46467,5077098.15591,-2873576.81463
-2559341.32822,5075711.70265,-2876901.74967
-2559397.58534,5075699.32105,-2876873.54648
-2559346.15405,5075728.50103,-2876867.81893
-2559311.10575,5075752.88752,-2876855.97291
-2559384.89246,5075727.51883,-2876835.08857
-2559365.85445,5075754.37158,-2876804.64796
-2560364.04194,5074869.26901,-2877477.86701
-2560402.96423,5074857.15036,-2877464.60694
-2560369.22673,5074894.80889,-2877428.20961
-2560424.985,5074872.275,-2877418.33743
-2560337.67372,5074920.38926,-2877411.16965
-2560410.57193,5074895.9937,-2877389.32998
-2562061.68281,5074073.46805,-2877370.21849
-2562096.14779,5074062.81702,-2877358.31248
-2562035.31402,5074097.29198,-2877351.68535
-2562128.21975,5074055.39429,-2877342.84388
-2562074.07345,5074101.33087,-2877310.05042
-2562108.55473,5074092.91275,-2877294.19186
-2564200.95426,5073686.01571,-2876147.54145
-2564251.63799,5073670.72963,-2876129.31983
-2564167.56135,5073717.01507,-2876122.62748
-2564246.54862,5073694.97447,-2876091.08757
-2564214.70489,5073712.58563,-2876088.41062
-2564172.94933,5073737.26712,-2876082.09727
-2566070.59289,5074208.97018,-2873556.34002
-2566109.77849,5074204.8258,-2873528.66534
-2566077.84081,5074230.00967,-2873512.71511
-2566146.00866,5074206.75599,-2873492.90233
-2566120.64216,5074227.3411,-2873479.20485
-2566079.39253,5074248.27401,-2873479.07683
-2559221.22072,5077594.30104,-2873684.71782
-2559224.44719,5077616.68834,-2873642.28728
-2559284.67053,5077596.68866,-2873623.99114
-2559194.52675,5077644.04576,-2873620.5941
-2559251.73578,5077618.4183,-2873614.92741
-2559219.6261,5077647.31953,-2873592.45613
-2557983.65165,5077826.30575,-2874376.56658
-2558029.79359,5077803.60049,-2874375.61392
-2558012.48122,5077825.21529,-2874352.83653
-2558056.51772,5077817.76252,-2874326.81211
-2557981.3945,5077857.22728,-2874323.94917
-2558026.46795,5077843.49526,-2874308.09533
-2556904.76093,5077512.89622,-2875889.74619
-2556868.95727,5077545.94598,-2875863.22724
-2556943.91402,5077511.47052,-2875857.45254
-2556917.09234,5077536.63393,-2875836.87194
-2556944.87402,5077537.9744,-2875809.80416
-2556887.71147,5077569.81982,-2875804.40152
-2556490.86263,5076464.89756,-2878106.94957
-2556525.37322,5076448.71034,-2878104.84649
