4.927983e-03	2.447759e-04	6.788861e-05
8.278928e-03	1.116784e-03	2.233567e-04
1.168535e-02	2.121387e-03	2.631257e-04
1.691360e-02	6.844953e-03	4.914390e-04
2.535557e-02	2.683565e-02	1.007124e-03
3.823057e-02	7.347144e-02	1.535998e-03
5.730654e-02	2.153196e-01	2.474775e-03
8.599596e-02	5.618024e-01	3.526729e-03
1.290740e-01	1.426482e+00	4.890922e-03
1.936440e-01	3.178391e+00	5.948633e-03
2.904981e-01	6.238241e+00	6.364753e-03
4.357607e-01	1.038841e+01	5.776720e-03
6.536269e-01	1.476645e+01	4.473338e-03
9.804479e-01	1.927316e+01	3.179584e-03
1.470693e+00	2.651750e+01	2.382092e-03
2.128771e+00	3.877627e+01	2.246943e-03
2.782628e+00	5.008471e+01	6.263452e-03
